Meal Name,Description,Meal Category,Portion Size,Calories (kcal),Carbs (g),Protein (g),Fats (g),Fiber (g),Sodium (mg),Vitamin A (μg),Vitamin C (mg),Calcium (mg),Iron (mg)
Cottage Cheese Salad Variant 1,High protein version of Cottage Cheese Salad with added protein sources,Street Food,244g,351,25,33,26,7,659,76,18,135,3.9
Chicken Biryani Variant 2,High protein version of Chicken Biryani with added protein sources,Dessert,244g,340,50,46,12,9,729,57,23,288,2.5
Pumpkin Seed Snack with Cheese Variant 3,High protein version of Pumpkin Seed Snack with Cheese with added protein sources,Snack,175g,390,35,29,26,4,519,78,28,146,3.3
Fish Curry Variant 4,High protein version of Fish Curry with added protein sources,South Indian,199g,396,38,31,19,4,698,118,23,264,3.6
Little Millet Khichdi with Prawns Variant 5,High protein version of Little Millet Khichdi with Prawns with added protein sources,Snack,264g,468,33,26,10,7,843,73,17,199,4.4
Paneer Tikka Variant 6,High protein version of Paneer Tikka with added protein sources,Snack,257g,339,50,43,29,5,634,69,11,123,2
Chana Masala with Eggs Variant 7,High protein version of Chana Masala with Eggs with added protein sources,Snack,227g,481,47,29,16,6,642,125,14,263,3.7
Butter Chicken Variant 8,High protein version of Butter Chicken with added protein sources,South Indian,228g,577,22,50,14,6,674,54,17,172,3.2
Dal Fry with Tofu Variant 9,High protein version of Dal Fry with Tofu with added protein sources,Dessert,229g,427,49,43,14,9,823,85,13,268,2.7
Fish Tikka Variant 10,High protein version of Fish Tikka with added protein sources,South Indian,193g,507,20,30,28,8,667,141,12,146,3.6
Black Rice Pulao with Chicken Variant 1,High protein version of Black Rice Pulao with Chicken with added protein sources,Snack,257g,526,32,50,14,5,551,150,23,140,3
Paneer Paratha Variant 2,High protein version of Paneer Paratha with added protein sources,Snack,202g,462,29,48,17,9,567,58,18,203,2.8
Proso Millet Salad with Eggs Variant 3,High protein version of Proso Millet Salad with Eggs with added protein sources,North Indian,223g,520,20,45,23,10,834,148,13,171,2.4
Chicken Stew Variant 4,High protein version of Chicken Stew with added protein sources,Dessert,275g,521,46,29,10,8,854,69,23,120,3.9
Flaxseed Roti with Dal Variant 5,High protein version of Flaxseed Roti with Dal with added protein sources,Dessert,246g,521,25,49,27,8,796,62,27,170,3.6
Chicken Korma Variant 6,High protein version of Chicken Korma with added protein sources,Snack,205g,394,29,33,27,4,795,109,27,120,3.5
Soya Chunk Curry Variant 7,High protein version of Soya Chunk Curry with added protein sources,Snack,278g,585,37,44,21,6,796,81,24,186,2.8
Mutton Korma Variant 8,High protein version of Mutton Korma with added protein sources,Dessert,261g,511,50,43,29,9,533,90,23,162,3.5
Moong Dal Cheela Variant 9,High protein version of Moong Dal Cheela with added protein sources,South Indian,266g,484,32,33,14,9,664,123,12,202,3.3
Paneer Paratha Variant 10,High protein version of Paneer Paratha with added protein sources,North Indian,232g,525,45,28,19,4,800,133,12,291,4.5
Egg Fried Rice with Extra Eggs Variant 1,High protein version of Egg Fried Rice with Extra Eggs with added protein sources,Snack,275g,417,21,37,20,4,578,102,16,233,3
Fonio Pulao with Fish Variant 2,High protein version of Fonio Pulao with Fish with added protein sources,Dessert,201g,305,22,47,26,7,585,134,26,114,2.7
Black Rice Pulao with Chicken Variant 3,High protein version of Black Rice Pulao with Chicken with added protein sources,North Indian,242g,473,49,42,19,10,572,54,23,227,1.6
Moong Dal Cheela Variant 4,High protein version of Moong Dal Cheela with added protein sources,North Indian,207g,339,42,40,25,5,508,102,29,204,2.2
Mutton Korma Variant 5,High protein version of Mutton Korma with added protein sources,Snack,161g,411,39,39,28,10,825,82,23,293,2.9
Walnut Paneer Curry Variant 6,High protein version of Walnut Paneer Curry with added protein sources,Snack,174g,455,20,28,21,4,589,84,18,131,3.1
Pistachio Milk with Eggs Variant 7,High protein version of Pistachio Milk with Eggs with added protein sources,South Indian,257g,436,24,44,13,5,748,132,26,149,4
Millets Khichdi with Lentils Variant 8,High protein version of Millets Khichdi with Lentils with added protein sources,Snack,276g,411,30,28,14,9,572,64,17,167,1.7
Barnyard Millet Curry with Tofu Variant 9,High protein version of Barnyard Millet Curry with Tofu with added protein sources,Dessert,243g,351,28,33,16,8,501,95,27,276,3.9
Pearl Millet Porridge with Milk Variant 10,High protein version of Pearl Millet Porridge with Milk with added protein sources,North Indian,286g,472,34,32,15,9,503,143,29,124,2
Fonio Pulao with Fish Variant 1,High protein version of Fonio Pulao with Fish with added protein sources,Dessert,231g,536,32,45,11,5,509,145,15,272,3.8
Whey Protein Lassi Variant 2,High protein version of Whey Protein Lassi with added protein sources,North Indian,174g,550,40,49,19,5,867,54,11,251,4
Sesame Chicken Variant 3,High protein version of Sesame Chicken with added protein sources,North Indian,222g,350,49,48,29,9,821,113,10,117,4.4
Grilled Fish Variant 4,High protein version of Grilled Fish with added protein sources,Dessert,242g,474,32,35,10,8,553,111,14,184,2.1
Barley Soup with Chicken Variant 5,High protein version of Barley Soup with Chicken with added protein sources,Snack,283g,480,27,25,28,4,712,70,25,137,4.2
Barley Soup with Chicken Variant 6,High protein version of Barley Soup with Chicken with added protein sources,Snack,276g,388,40,28,16,5,563,117,24,223,4.2
Yogurt Dip with Veggies and Paneer Variant 7,High protein version of Yogurt Dip with Veggies and Paneer with added protein sources,Dessert,229g,454,41,40,24,6,602,140,27,239,3.4
Moong Dal with Paneer Variant 8,High protein version of Moong Dal with Paneer with added protein sources,North Indian,266g,495,25,38,30,10,848,124,16,289,3.7
Mutton Stew Variant 9,High protein version of Mutton Stew with added protein sources,Street Food,218g,455,45,36,13,10,717,70,13,285,3.8
