Exercise Name,Primary Muscle Group(s),Calories Burned per min / set (avg range),Category,Equipment Required,Description,Difficulty Level
Full Body Sit-Up,Full Body,7-16 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the full body. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Scapular Retraction,Chest,15-14 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the chest. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Band Walk,Hamstrings,15-12 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the hamstrings. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Mobility/Stretch Crunch,Mobility/Stretch,6-11 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the mobility/stretch. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Hollow Hold,Back,5-11 kcal/min,Core,None,"This is a core exercise that primarily targets the back. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Cycle,Quadriceps,3-11 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the quadriceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Side Bend,Full Body,10-20 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Bird Dog,Chest,7-11 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the chest. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Cycle,Quadriceps,13-12 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the quadriceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Russian Twist,Glutes,3-16 kcal/min,Core,Machine,"This is a core exercise that primarily targets the glutes. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Crunch,Full Body,13-16 kcal/min,Core,Cable,"This is a core exercise that primarily targets the full body. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Jump Rope,Legs,5-20 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the legs. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Burpees,Triceps,9-16 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the triceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Wall Slide,Full Body,8-17 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the full body. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Deadlift,Quadriceps,3-19 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the quadriceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Squat,Full Body,3-15 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the full body. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Glute Bridge,Glutes,10-14 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the glutes. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Calves Step-Up,Calves,11-12 kcal/min,Cardio,Barbell,"This is a cardio exercise that primarily targets the calves. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back V-Up,Back,12-19 kcal/min,Core,Machine,"This is a core exercise that primarily targets the back. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
